Date,gdp_processed
2010-03-01,2.3567306824031973
2010-06-01,1.2426160886538393
2010-09-01,1.0121257402717356
2010-12-01,1.3915756598284108
2011-03-01,1.2548257442356383
2011-06-01,0.5014866660036212
2011-09-01,-0.1148083288114483
2011-12-01,-0.30286999709015944
2012-03-01,-0.5068287122808698
2012-06-01,-0.7939098036797327
2012-09-01,0.1915249403834599
2012-12-01,-0.6029729700525676
2013-03-01,-1.0084765165072032
2013-06-01,-0.20110051486608863
2013-09-01,0.13319053189850155
2013-12-01,-0.16811469135546214
2014-03-01,-0.6155134447989322
2014-06-01,0.39074990507087476
2014-09-01,0.6460317080266821
2014-12-01,-0.3979114379865447
2015-03-01,0.04848940061054887
2015-06-01,0.2288240505206943
2015-09-01,0.39444427385543035
2015-12-01,0.08052509676746102
2016-03-01,0.7903751057475287
2016-06-01,0.636908598252946
2016-09-01,1.0084913122865684
2016-12-01,0.5977579479753008
2017-03-01,-0.26031724666337414
2017-06-01,-0.32659154405148355
2017-09-01,-0.6249120195162323
2017-12-01,-0.11793437849637856
2018-03-01,0.7319080843430967
2018-06-01,0.19396152449526072
2018-09-01,-0.19731619359573804
2018-12-01,-0.2812795313373035
2019-03-01,-0.47365131091912327
2019-06-01,-0.7084505357563079
2019-09-01,-1.0075904135840446
2019-12-01,-1.3989614884379231
2020-03-01,-1.515588947382263
2020-06-01,-2.319527325411757
2020-09-01,-2.319527325411757
2020-12-01,-1.9546659361084189
2021-03-01,-1.3861439423195572
2021-06-01,2.410770152451768
2021-09-01,1.0820751293031565
2021-12-01,-0.5456657712129354
2022-03-01,-0.9496109882502801
2022-06-01,2.410770152451768
2022-09-01,-0.38458658326912104
2022-12-01,-0.8027783133128974
2023-03-01,-0.032254624516642974
2023-06-01,1.0047888700731158
2023-09-01,0.8857857211640809
2023-12-01,0.9502192805170159
2024-03-01,0.5148643526992661
2024-06-01,-0.17681599355769637
2024-09-01,-0.5145318181364174
2024-12-01,-0.23135732048265015
2025-03-01,0.15074924886834018
