date,nowcast,actual,error,ci_lower,ci_upper,variation_explained,optimal_factors,midas_method,midas_alpha,gdp_train_mean,gdp_train_std,orig_gdp_mean,orig_gdp_std
2016-03-01,7.222001366868508,9.08868263,-1.8666812631314915,4.605424737587268,9.838577996149747,0.794614760012641,2,ridge,10.0,1.7578531223231644e-16,1.0,7.555783734583334,2.1223948291354726
2016-06-01,8.704970416710971,8.67980251,0.02516790671097091,6.28703699677156,11.12290383665038,0.9971004056046235,3,ridge,1.0,2.353672812205332e-16,1.0,7.6170996904,2.10020498513111
2016-09-01,7.949935578845625,9.66980865,-1.7198730711543755,5.486760752430028,10.41311040526122,0.8221399064443353,3,ridge,10.0,1.921539850312771e-16,1.0000000000000002,7.657972875769231,2.0682994439211893
2016-12-01,7.795762361546758,8.57549361,-0.7797312484532428,5.301392984370741,10.290131738722774,0.9090744761859554,3,ridge,10.0,1.3158198810372225e-16,0.9999999999999999,7.732485311851852,2.0647605666839257
2017-03-01,7.900077387533593,6.28932776,1.6107496275335933,5.529641521401418,10.270513253665769,0.743891606702718,3,ridge,10.0,1.6455091257837142e-16,0.9999999999999999,7.762592751071429,2.032417127923781
2017-06-01,5.861273051832029,6.11275345,-0.2514803981679705,3.532322324939928,8.190223778724128,0.9588597184190423,3,ridge,1.0,6.891039463190627e-17,0.9999999999999998,7.711790509999999,2.014457458698627
2017-09-01,6.512545802891994,5.31793956,1.194606242891994,4.079254070631726,8.945837535152261,0.7753629522461151,3,ridge,10.0,1.1102230246251565e-16,1.0,7.658489274666666,2.000834108393336
2017-12-01,5.61419023394571,6.66867779,-1.0544875560542906,3.507289628371697,7.721090839519721,0.8418745680537235,5,ridge,10.0,1.5041731301373088e-16,1.0,7.582987670967742,2.0116182081417797
2018-03-01,6.654102270961563,8.93290921,-2.2788069390384367,4.229593667491174,9.078610874431954,0.7448975596340538,3,ridge,10.0,1.1102230246251565e-16,1.0,7.5544154871875,1.9854963886394599
2018-06-01,8.309981124443567,7.49966063,0.8103204944435669,5.92918352929246,10.690778719594675,0.8919523783246753,4,ridge,10.0,2.3886616590420033e-16,0.9999999999999999,7.596188024242424,1.9689046364034157
2018-09-01,7.059715883393727,6.45718118,0.6025347033937267,4.890650154575356,9.2287816122121,0.906687657261349,5,ridge,10.0,1.197979623998101e-16,1.0,7.593348983235294,1.9389139293932167
2018-12-01,4.747242750483254,6.23347804,-1.4862352895167454,2.6137413020543523,6.880744198912157,0.7615720661916785,5,ridge,10.0,4.123685520036296e-17,0.9999999999999999,7.560887046,1.919817496793622
2019-03-01,7.426274422822246,5.72094278,1.7053316428222463,5.136183553120877,9.716365292523616,0.7019142284058562,5,ridge,10.0,-7.401486830834377e-16,0.9999999999999998,7.524014573611112,1.9050822504262113
2019-06-01,6.4111445196258305,5.09536827,1.3157762496258307,4.243744090423084,8.578544948828577,0.7417701371316522,5,ridge,10.0,-2.520506326176031e-16,1.0,7.475282903513514,1.90168086851418
2019-09-01,5.757085277969214,4.29837125,1.4587140279692141,3.3515078915757703,8.162662664362657,0.6606356354237168,2,ridge,10.0,2.9216395384872543e-16,1.0,7.412653571052632,1.9151246217457618
2019-12-01,5.002544713368215,3.25564307,1.7469016433682145,2.6282059054257783,7.37688352131065,0.463423475544506,2,ridge,10.0,-1.3664283380001927e-16,0.9999999999999998,7.332800178205128,1.9544487315906758
2020-03-01,4.744757258836156,2.94491306,1.7998441988361558,2.324452129211773,7.165062388460538,0.3888294281814365,3,ridge,10.0,6.661338147750939e-17,1.0,7.2308712505,2.0340857199034237
2020-06-01,3.9009771498505534,-23.13412885,27.035105999850554,1.5532360972530252,6.248718202448082,-0.16862433745157235,2,ridge,1.0,-4.224263215646937e-16,0.9999999999999999,7.126335684878049,2.117097579634228
2020-09-01,-1.5598873235430437,-5.83921762,4.279330296456957,-6.8373449767332275,3.7175703296471396,0.26713978225443213,5,ridge,10.0,1.057355261547768e-17,1.0,6.405848434047618,5.116156907128608
2020-12-01,-3.17670701263895,1.77508223,-4.95178924263895,-8.453483310304073,2.1000692850261737,-1.7896111847387202,5,ridge,10.0,-8.675231076140758e-16,1.0000000000000002,6.121079456046511,5.388771724072751
2021-03-01,-4.03198618878525,3.2897928,-7.32177898878525,-8.566325546580023,0.5023531690095222,-1.2256049039882542,5,ridge,1.0,-1.312081756375185e-16,0.9999999999999999,6.022306791818181,5.365892663591657
2021-06-01,0.4163845557224519,22.63377259,-22.217388034277548,-4.231717918561574,5.064487030006478,0.018396604192551513,5,ridge,1.0,-4.983667799428481e-16,0.9999999999999996,5.961584258666666,5.320183017321563
2021-09-01,14.43905132406347,9.86585768,4.573193644063471,6.921826384414233,21.95627626371271,0.5364626378774733,4,ridge,1.0,-7.723290606088045e-17,0.9999999999999998,6.324023135434781,5.806721196465028
2021-12-01,9.800328789470338,5.52907498,4.2712538094703385,2.1188349164596367,17.48182266248104,0.2274921528609224,2,ridge,1.0,5.291275691830533e-16,1.0,6.399381317234041,5.766447522062046
2022-03-01,7.024573333949083,4.45284557,2.5717277639490828,0.04128609316640297,14.007860574731762,0.4224529632746543,5,ridge,1.0,-1.4802973661668753e-16,0.9999999999999999,6.381249935208333,5.706155385643225
2022-06-01,10.17928069443382,13.49075958,-3.3114788855661814,3.289017514342081,17.069543874525557,0.754537254486735,5,ridge,1.0,-3.6025604268448955e-16,1.0,6.341894744081633,5.653119874372719
2022-09-01,17.27516469909684,5.95823753,11.316927169096841,9.544461422461245,25.00586797573244,-0.8993749598124601,3,ridge,0.1,2.1316282072803005e-16,1.0,6.4848720408,5.685744490491775
